0 0 B-LOC NN NNP
NN QC I-NUM RB VM
RB VM B-PERIOD QC QC
VM NN B-MONEY QC QC
NN QC I-MONEY QC NN
QC QC I-MONEY NN NN
SYM NN B-NUM QC CL
NN QC I-NUM CL PSP
VM SYM B-NUM SYM QC
QC SYM B-NUM NN VM
NN VM B-NUM NN NN
NN PSP B-NUM VM VM
NN VM B-NUM QC NN
VM QC I-NUM NN NN
NN NN B-LOC NNP NN
NN NNP I-LOC NN VM
NN RB B-ORG NN NNP
RB NN I-ORG NNP VM
NN NN B-PERSON VM SYM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NNP
QC SYM B-LOC SYM NNP
NNP SYM B-LOC NN NST
JJ NN B-DAY VM SYM
NN NN B-NUM NN NN
RP NST B-LOC NN VM
NN VM B-NUM NN VM
VM VM B-LOC NN JJ
JJ NN B-PERSON NNP VM
NN NNP I-PERSON VM VM
VM VM B-LOC NN VM
NN NNP B-PERSON NNP VM
NNP NNP I-PERSON VM NNP
NNP VM B-LOC NN VM
NN JJ B-PERIOD RB NN
JJ QC I-PERIOD NN VM
RB VM B-LOC NN VM
SYM CC B-LOC JJ NN
JJ NN B-PERSON NNP VM
NN NNP I-PERSON VM NNP
NNP VM B-LOC NN VM
NN NN B-LOC NN RB
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NNP
QC SYM B-ORG NN NNP
NNP NN B-PERSON NN QF
NN QF B-PERIOD VM SYM
NN NN B-PERIOD NN NN
NN NN B-PERIOD NN SYM
NN NN B-NUM NN NN
NN QC I-NUM NN VM
VM SYM B-PERSON NN NN
NNP NN B-DAY VM NNP
NN VM B-ORG NN NN
VM NN B-ORG NN NN
NN NN I-ORG NN VM
NN NN I-ORG VM NN
NN NN B-PERSON NNP NN
NN NNP I-PERSON NN NN
NNP NNP B-ORG NN NN
VM NN B-ORG NN NN
NN NN I-ORG NN NN
NN NN I-ORG NN VM
NN NN B-PERIOD NN VM
NN NN B-PERSON NNP RB
NN NNP I-PERSON RB VM
VM NN B-PERSON NN WQ
VM NN B-PERSON VM NNP
NNP VM B-PERSON PSP NN
NN NN B-PERSON SYM NN
NN NN B-PERSON NN NN
VM SYM B-NUM NN NN
VM SYM B-PERSON SYM NNP
NNP SYM B-PERSON RB NN
RB NN B-NUM NN NN
NN VM B-PERSON NN VM
VM SYM B-ORG NN NNP
NNP NN B-LOC NN VM
NN VM B-PERSON VM SYM
NN DEM B-PERIOD NN PSP
DEM NN B-DAY PSP NN
SYM CC B-DAY NN NN
NN NN B-PERSON VM SYM
NN VM B-PERSON VM SYM
SYM NN B-ORG NN NST
NST JJ B-PERIOD NN NN
NN VM B-PERSON VM SYM
VM SYM B-PERSON NN NN
NN VM B-PERSON NN VM
VM SYM B-LOC NNP SYM
SYM NNP I-LOC SYM NN
NN VM B-ORG NNP NNP
VM NNP I-ORG NNP NN
NNP NNP I-ORG NN NN
NN NN B-PERIOD NN NN
NN QC I-PERIOD NN NN
NN QF B-NUM NN VM
VM SYM B-LOC NNP PSP
SYM NNP I-LOC PSP NNP
NNP PSP B-ORG NNP NNP
PSP NNP I-ORG NNP PSP
NNP NNP I-ORG PSP VM
VM NN B-PERSON NNP QC
NN NNP I-PERSON QC NN
NNP NNP B-PERIOD NN NN
NNP QC I-PERIOD NN NN
NN NN B-ORG NN VM
NN NN I-ORG VM NN
VM SYM B-PERIOD NN NN
VM SYM B-LOC SYM NN
NN PSP B-PERSON NN NN
NNP NN B-DAY NN NNP
NN NN B-LOC NN VM
NN NN B-PERSON VM SYM
VM SYM B-LOC JJ DEM
NN NN B-NUM NN VM
SYM NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP DEM
SYM NNP I-PERSON DEM NN
NN VM B-LOC NN NN
VM SYM B-LOC SYM NN
DEM NN B-DATE PSP NNP
QC PSP B-LOC NST QC
NNP NST B-NUM NN NNP
NN VM B-LOC NNP NN
VM DEM B-PERIOD NN NN
VM SYM B-DATE QC PSP
SYM NN I-DATE PSP QC
QC PSP B-NUM PSP JJ
VM SYM B-LOC SYM NST
NN VM B-LOC NN NN
VM SYM B-LOC SYM NNP
NNP SYM B-LOC NN NN
NN NN B-LOC NNP NST
NN NNP I-LOC NST NN
NN VM B-NUM NN NN
NN NN B-DAY NN JJ
PSP VM B-PERSON UT NN
SYM VM B-PERSON NN VM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NNP
QC SYM B-LOC NN NN
NN NN B-NUM QC CL
NN QC I-NUM CL NN
PRP VM B-ORG NN VM
VM NN I-ORG VM SYM
SYM PRP B-NUM QC CL
PRP QC I-NUM CL JJ
CL JJ B-LOC NNP NN
JJ NNP I-LOC NN VM
NN VM B-ORG NN NN
VM NN I-ORG NN NN
NN NN I-ORG NN NN
NN NN B-PERSON NN VM
NN NNP I-PERSON VM SYM
SYM QF B-NUM QC QC
QF QC I-NUM QC QC
QC QC I-NUM QC CL
QC QC I-NUM CL NNP
QC CL B-LOC NN VM
NN SYM B-LOC NN NST
NN NN B-LOC NN RB
JJ NN B-NUM CL NN
SYM NN B-LOC PSP VM
PSP VM B-PERSON NN VM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NNP
QC SYM B-LOC NST NN
NN VM B-ORG NNP NN
VM NNP B-LOC NN VM
NN VM B-LOC RB VM
VM SYM B-LOC NNP PSP
SYM NNP B-LOC PSP NN
DEM NN B-NUM NN NN
VM SYM B-LOC NN RB
NN VM B-LOC VM NNP
NNP VM B-LOC NN NN
NN NN B-PERSON NNP NN
NN NNP I-PERSON NN VM
VM SYM B-NUM NN VM
RB VM B-LOC NN NNP
NNP NN B-LOC NN PRP
NN RP B-LOC PSP VM
VM SYM B-LOC NN NN
VM PSP B-LOC RB VM
NN NN B-LOC NN NN
SYM RB B-LOC PSP NN
VM NN B-LOC DEM JJ
NN NN B-LOC NN NNP
NNP NN B-LOC VM NN
VM NN B-LOC NN NN
RB VM B-LOC VM VM
SYM JJ B-PERIOD VM NNP
NN VM B-LOC NN NN
VM SYM B-LOC JJ NN
NN PSP B-LOC NN NN
NN PSP B-LOC VM VM
SYM RB B-LOC PSP NN
PSP NN B-LOC SYM NNP
NNP SYM B-ORG NN NN
SYM NNP I-ORG NN VM
NN VM B-LOC VM NN
NN SYM B-LOC NNP SYM
SYM NNP I-LOC SYM NNP
NNP SYM B-LOC NNP SYM
SYM NNP I-LOC SYM NN
SYM NN B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC JJ NN
VM NN I-PERIOD NN NN
JJ NN B-PERIOD NN VM
NN SYM B-LOC DEM NN
CC DEM B-LOC NN NN
NN SYM B-LOC QC CL
QC CL B-LOC NN SYM
JJ JJ B-LOC PSP NN
PSP NN B-NUM CL NNP
QC CL B-LOC NN NN
VM SYM B-LOC NNP NN
SYM NNP B-LOC NN NN
NN NN B-ORG NNP NN
NN NNP I-ORG NN JJ
NNP NNP I-ORG JJ NN
NN JJ B-PERIOD NNP NN
JJ NN B-LOC NN NN
NN NST B-PERIOD VM NN
SYM JJ B-PERIOD NN PSP
NN PSP B-LOC PSP NN
CC JJ B-PERIOD NNP PSP
JJ NN B-LOC PSP NN
PRP NN B-LOC NN NN
SYM NN B-ORG NNP PRP
NN NNP I-ORG PRP NN
VM SYM B-LOC NN NN
VM NN B-NUM NNP NN
NN QC B-LOC NN NNP
NNP NN B-LOC NN VM
WQ JJ B-LOC NN NN
SYM JJ B-LOC VM NST
NN NN B-MONEY QC QC
NN NN I-MONEY QC NN
NN QC I-MONEY NN VM
QC QC I-MONEY VM VM
SYM PRP B-LOC NN NN
NN NN B-DATE VM SYM
VM SYM B-LOC NN NN
NN VM B-LOC VM VM
SYM JJ B-PERIOD NN QC
NN NN B-NUM QC NN
NN QC I-NUM NN NNP
QC NN B-LOC NN VM
SYM DEM B-PERIOD NST QC
NN NST B-NUM QC CL
NST QC I-NUM CL NNP
QC CL B-LOC VM VM
VM SYM B-ORG JJ NN
NN NN B-LOC PSP NNP
NNP PSP B-LOC NN VM
NN SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM JJ
NN SYM B-LOC VM VM
NN SYM B-LOC PSP NN
VM NN B-YEAR PSP VM
PSP VM B-LOC NNP SYM
VM NNP I-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC JJ NN
VM VM B-ORG NN NN
VM NN I-ORG NN SYM
SYM PRP B-LOC CC SYM
CC SYM B-LOC PSP WQ
JJ NN B-LOC NN VM
NN VM B-ORG NN NN
VM NNP I-ORG NN NN
SYM CC B-LOC NNP NN
CC NNP I-LOC NN NN
VM SYM B-LOC NN NNP
NNP NN B-LOC NN VM
SYM VM B-LOC NN NN
VM VM B-LOC NN VM
VM UT B-LOC NN NNP
NNP NN B-LOC NN VM
VM SYM B-NUM QC QC
SYM NN I-NUM QC CL
NN QC I-NUM CL NNP
QC CL B-LOC SYM NNP
NNP SYM B-LOC NN NNP
NNP NN B-LOC NN NST
NN SYM B-NUM QC NN
SYM QC I-NUM NN NNP
QC NN B-LOC NN NN
VM SYM B-LOC NN NNP
NN NNP B-PERSON NNP NN
NNP NNP I-PERSON NN NN
NN PRP B-PERSON NNP SYM
PRP NNP I-PERSON SYM NN
NNP SYM B-PERSON NN UT
VM SYM B-NUM QC QC
SYM QC I-NUM QC CL
QC QC I-NUM CL NN
VM SYM B-NUM QC CL
SYM QC I-NUM CL NN
NN VM B-LOC NN NNP
NNP NN B-PERSON NNP RB
NN NNP I-PERSON RB VM
VM SYM B-LOC NN NNP
NNP NN B-PERSON NNP VM
NN NNP I-PERSON VM QC
NNP VM B-NUM NN CL
VM QC I-NUM CL NN
VM SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC NN QF
NN QF B-NUM CL NN
VM NN B-ORG NN NN
NN NN I-ORG NN PRP
NN NN I-ORG PRP VM
NN VM B-ORG NNP NN
VM NNP I-ORG NN SYM
VM VM B-ORG NN PSP
VM NNP I-ORG PSP QF
NN NN B-LOC NN NN
NN NN B-LOC NN NN
NNP NN B-PERSON NN RB
NN NN I-PERSON RB VM
NN NN B-LOC NN NN
NN VM B-PERIOD NN SYM
NN NN B-LOC SYM NNP
NNP SYM B-LOC NN NN
SYM NST B-LOC NN NN
SYM NN B-LOC NN VM
VM SYM B-ORG NNP SYM
SYM NNP I-ORG SYM NNP
NNP SYM B-ORG SYM NNP
NNP SYM B-ORG SYM NN
NNP SYM B-ORG NN NN
SYM NN I-ORG NN NN
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NNP
QC SYM B-LOC NN NN
NN PSP B-LOC PSP VM
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP NN
SYM NNP I-PERSON NN QO
NNP NN B-NUM NN NNP
NN NNP B-PERSON NNP SYM
NNP NNP I-PERSON SYM QO
NNP SYM B-NUM NN NNP
QO NN B-PERSON NNP NN
NN NNP I-PERSON NN NN
SYM CC B-LOC NN VM
NN VM B-NUM NN NNP
QO NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-LOC NNP PSP
SYM NNP I-LOC PSP VM
PSP VM B-NUM NN VM
NN VM B-PERSON NNP PSP
VM NNP I-PERSON PSP NN
PSP NN B-LOC VM QC
NNP VM B-NUM NN NN
NN NNP B-PERSON NNP PSP
NNP NNP I-PERSON PSP NN
VM SYM B-DAY NN VM
NN NN B-NUM NN PSP
NN PSP B-PERSON NNP VM
PSP NNP B-LOC VM QC
NNP VM B-NUM NN NN
NN NN B-PERSON NNP NN
NN NNP I-PERSON NN NN
NN VM B-PERSON QC SYM
VM NNP B-NUM SYM QC
QC SYM B-NUM VM NN
VM NN B-NUM NN NN
SYM NN B-PERSON NN VM
NN VM B-NUM SYM QO
QC SYM B-PERIOD NN PSP
RB VM B-PERSON QC NN
VM NNP B-NUM NN QO
QC NN B-NUM NN PSP
NN VM B-PERSON NN VM
NN NN B-NUM NN PSP
NN PSP B-PERSON PSP QC
NNP PSP B-NUM NN NN
NN NN B-PERSON NNP NN
NN NNP I-PERSON NN VM
NN PSP B-NUM NN VM
NN VM B-PERSON NST DEM
DEM NST B-PERSON NN VM
SYM RB B-NUM SYM QC
QC SYM B-NUM SYM QC
QC SYM B-NUM NN RB
NN RB B-NUM NN NN
NN VM B-PERSON PSP VM
PSP VM B-PERSON NNP NN
VM NNP I-PERSON NN PSP
VM SYM B-NUM NN PSP
NN RP B-PERSON NNP QC
RP NNP I-PERSON QC SYM
NNP NNP B-NUM SYM QC
QC SYM B-NUM NN QC
QC NN B-NUM NN QC
QC NN B-NUM NN NN
NN NN B-PERSON NNP NST
NN NNP I-PERSON NST RB
VM SYM B-NUM NNP NNP
SYM NN B-PERSON NNP QC
NN NNP I-PERSON QC SYM
NNP NNP B-NUM SYM QC
QC SYM B-NUM SYM QC
QC SYM B-NUM SYM QC
QC SYM B-NUM NN NN
NN NN B-PERSON NN NST
NN NNP I-PERSON NST NNP
NN NST B-PERSON NNP VM
NST NNP I-PERSON VM SYM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM QF
RB VM B-LOC NN NN
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NN
NNP NNP B-LOC NN NN
NN PSP B-NUM NN RB
NN VM B-PERSON NNP SYM
VM NNP I-PERSON SYM PRP
PRP NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-LOC SYM PSP
NN PSP B-LOC VM NNP
NNP VM B-PERSON NNP SYM
VM NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP NN
SYM NNP I-PERSON NN PSP
CC SYM B-NUM NN RB
NN VM B-PERSON SYM NNP
NNP SYM B-PERSON NNP NNP
SYM NNP I-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-LOC NN SYM
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-LOC NN SYM
SYM SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-LOC SYM NN
VM SYM B-TIME NN NN
SYM QC I-TIME NN RB
DEM NN B-PERSON NNP QC
NN NNP B-PERSON QC SYM
NNP NNP B-NUM SYM QC
QC SYM B-NUM SYM QC
QC SYM B-NUM NN NN
NN NN B-PERSON SYM NNP
NNP SYM B-PERSON NN VM
NN VM B-PERSON SYM PRP
PRP NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-LOC SYM NN
VM SYM B-NUM NN RB
VM PRP B-TIME NN RB
PRP QC I-TIME RB VM
RB VM B-PERIOD NN NN
NN NN B-NUM SYM QC
QC SYM B-NUM SYM QC
QC SYM B-NUM NN NNP
QC NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-LOC SYM SYM
SYM SYM B-PERSON NNP NNP
SYM NNP I-PERSON NNP SYM
NNP NNP B-PERSON SYM NNP
NNP SYM B-LOC SYM NN
NN PSP B-PERSON SYM NNP
NNP SYM B-PERSON NNP PSP
SYM NNP B-LOC PSP VM
PSP VM B-PERSON NNP SYM
VM NNP I-PERSON SYM NNP
NNP SYM B-LOC PSP VM
PSP VM B-PERSON NNP NN
VM NNP I-PERSON NN NN
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NNP
QC SYM B-LOC NN NN
NN NN B-LOC PSP VM
PSP VM B-PERSON NNP NNP
VM NNP I-PERSON NNP NN
NNP NNP I-PERSON NN VM
NN PSP B-NUM SYM QC
QC SYM B-NUM NN NNP
QC NN B-LOC VM NNP
NNP VM B-PERSON NNP NN
VM NNP I-PERSON NN VM
NN VM B-PERSON NNP NN
VM NNP I-PERSON NN NN
NN PSP B-LOC VM NNP
NNP VM B-LOC NNP NNP
VM NNP B-PERSON NNP VM
NNP NNP I-PERSON VM SYM
DEM NN B-NUM NN NN
NN VM B-PERSON NNP JJ
VM NNP I-PERSON JJ NN
NN PSP B-NUM SYM QC
QC SYM B-NUM NN NNP
QC NN B-PERSON NN VM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NNP
QC SYM B-LOC NN VM
NN NN B-LOC NST RB
NN NN B-PERSON NNP NN
NN NNP I-PERSON NN VM
VM SYM B-LOC JJ NN
NN NN B-PERSON NNP NN
NN NNP I-PERSON NN NN
NNP NNP B-DAY NN SYM
DEM NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NN
NNP NNP B-ORG NN NN
NNP NNP I-ORG NN NNP
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM JJ
NN NN B-PERSON NN VM
SYM NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP NNP
SYM NNP I-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP NN
SYM NNP I-PERSON NN VM
NN NNP B-PERSON NNP NN
NNP NNP I-PERSON NN VM
VM SYM B-LOC VM NN
PRP NN B-PERSON VM SYM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NN
NN NN B-DAY JJ NN
NN NN B-PERIOD NNP NN
DEM NN B-ORG NN NN
NN NNP I-ORG NN NN
NNP NN I-ORG NN NN
NN NN I-ORG NN NN
NN NN B-NUM QC NN
NN QC I-NUM NN SYM
NN SYM B-ORG NN NN
SYM NN I-ORG NN NN
NN NN I-ORG NN NN
NN NN I-ORG NN NN
NN NN B-ORG QC NN
NN NN B-NUM NN NN
VM SYM B-DAY NN VM
NN NN B-PERIOD NN NNP
NN QC I-PERIOD NNP NN
PSP VM B-NUM NN VM
NN VM B-NUM NST RB
RB SYM B-ORG QC NN
SYM NN B-NUM NN VM
NN VM B-NUM NST VM
CC SYM B-DAY NNP NN
SYM NN B-LOC NN NN
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM NN
NN NN B-NUM NN VM
NN VM B-NUM NN VM
NN RB B-LOC NN NN
NN VM B-ORG NN VM
VM NN I-ORG VM SYM
VM SYM B-LOC NN QC
NNP NN B-NUM NN SYM
NN QC I-NUM SYM NNP
NN SYM B-LOC NN QC
NNP NN B-NUM NN VM
NN QC I-NUM VM SYM
VM SYM B-LOC NN QC
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NN
NN SYM B-ORG NNP NN
SYM NNP I-ORG NN NN
NNP NNP I-ORG NN NNP
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NN
NNP NNP I-PERSON NN NN
VM SYM B-LOC NN VM
NN VM B-LOC NNP NN
VM NNP I-LOC NN DEM
NN PSP B-MONEY QC NN
PSP QC I-MONEY NN NN
QC QC I-MONEY NN NNP
QC NN B-DAY NNP PRP
NN NN B-PERSON PRP NN
VM NN B-ORG NNP NNP
NN NNP I-ORG NNP SYM
NNP NNP I-ORG SYM NNP
NNP SYM B-ORG NNP SYM
SYM NNP I-ORG SYM DEM
VM SYM B-DAY VM NN
NN PSP B-PERSON VM VM
SYM CC B-ORG NNP NN
CC NNP I-ORG NN NN
NNP NNP I-ORG NN NN
SYM RP B-LOC NN NN
NN NN B-NUM VM NN
NN NN B-PERSON NNP PSP
NN NNP I-PERSON PSP VM
VM SYM B-YEAR PSP NNP
QC PSP B-ORG NN NN
PSP NNP I-ORG NN SYM
SYM NN B-PERSON NNP PSP
NN NNP I-PERSON PSP NNP
NNP PSP B-LOC NN NN
NN PSP B-MONEY QC NN
PSP QC I-MONEY NN VM
QC QC I-MONEY VM SYM
NST NST B-PERSON PRP NN
PSP RB B-MONEY QC NN
RB QC I-MONEY NN VM
QC QC I-MONEY VM SYM
SYM JJ B-PERIOD NN NNP
NN NN B-PERSON NNP NN
NN NNP I-PERSON NN NNP
NNP NN B-PERSON NNP NN
NN NNP I-PERSON NN NNP
NNP NN B-LOC NN JJ
NN JJ B-PERSON NNP NNP
JJ NNP I-PERSON NNP VM
NNP NNP I-PERSON VM NN
NN NN B-MONEY QC NN
NN QC I-MONEY NN NN
QC QC I-MONEY NN VM
VM SYM B-LOC NST INTF
RB VM B-ORG NN NN
VM NNP I-ORG NN NN
NNP NN I-ORG NN NNP
NN NN B-PERSON NNP QC
NN NNP I-PERSON QC PSP
NNP NNP B-YEAR PSP QC
QC PSP B-MONEY NN NN
PSP QC I-MONEY NN QC
QC NN I-MONEY QC NN
NN NN B-NUM NN NN
RB NST B-PERSON NNP VM
NST NNP I-PERSON VM SYM
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
VM NN B-NUM NN NN
NN VM B-ORG NNP VM
VM NNP I-ORG VM VM
NNP NNP I-ORG VM SYM
VM SYM B-NUM NN NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP PSP
NNP NNP I-PERSON PSP DEM
NN PSP B-ORG NN JJ
PSP NNP I-ORG JJ NNP
NN JJ B-PERSON SYM NNP
NNP SYM B-PERSON NNP NN
SYM NNP I-PERSON NN VM
SYM NST B-PERSON PSP NNP
NNP PSP B-PERSON VM SYM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM JJ
NN VM B-LOC NN PRP
VM SYM B-DAY JJ JJ
VM SYM B-LOC NST NNP
NNP NST B-LOC PSP VM
PSP VM B-ORG NN NN
VM NNP I-ORG NN NN
NNP NN I-ORG NN UT
NN NN I-ORG UT NN
VM SYM B-LOC NN NN
VM SYM B-ORG NN NN
SYM NNP I-ORG NN NN
NNP NN I-ORG NN VM
NN VM B-PERIOD NN NN
VM NN I-PERIOD NN VM
VM SYM B-YEAR PSP JJ
RB VM B-ORG NN NST
VM NNP I-ORG NST NN
NN NST B-ORG NN NN
NST NN I-ORG NN NN
NN NN I-ORG NN NN
NN NN I-ORG NN RB
NN NN I-ORG RB VM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM RP
QF NN B-NUM NN NN
NN VM B-PERIOD NN PSP
VM NN B-DATE PSP NN
WQ SYM B-NUM QC CL
SYM QC I-NUM CL NN
NN SYM B-NUM QC CL
SYM QC I-NUM CL NN
PRP SYM B-NUM NN NN
NN JJ B-PERIOD NN NN
VM SYM B-NUM NN NN
NN DEM B-PERIOD NN NST
DEM NN B-DATE NST NN
NN RP B-NUM NN NN
VM NN B-NUM NN PSP
SYM JJ B-PERIOD NN QC
JJ NN B-DATE QC NN
NN NN I-DATE NN NN
NN SYM B-NUM NN NN
NN NST B-ORG NN NN
NST NN I-ORG NN NN
PSP NST B-NUM NN PSP
NST QC I-NUM PSP QC
NN PSP B-NUM NN VM
PSP QC I-NUM VM NN
NN VM B-ORG NN NN
VM NN I-ORG NN VM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM SYM
SYM NN B-LOC NN NN
NN NN B-PERSON NNP PRP
NN NNP I-PERSON PRP NN
NN NST B-PERSON NST JJ
SYM CC B-YEAR NNP NN
CC QC B-LOC NN NN
NN NN B-ORG NN NN
NN NNP I-ORG NN RB
NST VM B-PERSON PRP VM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NN
NN JJ B-LOC NN NNP
NNP NN B-PERSON NN VM
SYM VM B-PERIODD RB NN
VM QC I-PERIOD NN RB
NN RB B-LOC NN VM
NN VM B-LOC NN VM
VM NN B-PERSON JJ NN
DEM NN B-DAY PRP NN
RB NN B-NUM NN VM
NN VM B-NUM NN NN
NN NN B-MONEY QC NN
NN QC I-MONEY NN RB
SYM NN B-LOC NN NN
NN VM B-LOC PSP NN
SYM NN B-NUM NN NNP
QC NN B-LOC NN VM
VM SYM I-LOC NN WQ
SYM NN B-NUM NN NN
NN VM B-ORG NN NN
VM NN I-ORG NN NN
RB VM B-ORG NN NN
VM NN I-ORG NN VM
NN VM B-NUM NN NN
RB QF B-NUM NN VM
VM SYM B-LOC NNP NNP
SYM NNP I-LOC NNP SYM
NNP NNP I-LOC SYM NN
NNP SYM B-ORG SYM NN
NN SYM B-ORG SYM NN
NN SYM B-ORG SYM JJ
NN NN B-LOC NN VM
PSP NST B-ORG NNP NNP
NST NNP I-ORG NNP NN
NNP NNP I-ORG NN NN
NNP NNP I-ORG NN NN
NNP NN I-ORG NN NN
NN NN B-ORG NN NNP
NN NN B-PERSON SYM NN
NNP SYM B-ORG NN NNP
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NN
NNP SYM B-ORG NN JJ
SYM NN I-ORG JJ NN
JJ NN B-PERSON SYM NNP
NNP SYM B-LOC NN NNP
NNP NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NN
NNP SYM B-ORG NN NN
SYM NN I-ORG NN NNP
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NN
NNP SYM B-ORG JJ NN
JJ NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NN
NNP SYM B-ORG NN NNP
NN NN B-PERSON SYM NN
VM NST B-ORG NN NNP
NN NN B-PERSON SYM JJ
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NN
SYM NN B-LOC VM NNP
NNP VM B-LOC JJ NN
JJ NN B-PERSON NNP DEM
NN NNP I-PERSON DEM NN
DEM NN B-DATE NN NN
NN NN B-ORG NNP JJ
NN NNP I-ORG JJ NN
NN NN B-ORG NN NNP
NNP NN B-ORG VM PSP
VM PSP B-PERSON NN NN
VM SYM B-NUM NNP NN
SYM NN B-LOC NN VM
NN VM B-PERSON NNP NNP
VM NNP B-LOC NNP NN
NNP NNP I-LOC NN PSP
NN VM B-ORG NNP NN
VM NNP I-ORG NN NNP
NNP NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NN
NNP NNP I-PERSON NN VM
NNP NNP B-DAY VM SYM
JJ NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NNP
NNP NNP B-ORG NNP JJ
NNP NNP I-ORG JJ NN
VM UT B-PERSON NNP NNP
UT NNP I-PERSON NNP NNP
NNP NNP B-ORG NNP NN
NNP NNP I-ORG NN VM
VM SYM B-LOC NN NNP
NNP NN B-ORG NNP JJ
NN NNP I-ORG JJ NN
VM NN B-PERSON PSP VM
DEM NN B-DATE NN NN
NN NN B-ORG NNP JJ
NN NNP I-ORG JJ NN
NN VM B-PERSON NNP PSP
VM NNP I-PERSON PSP NN
VM UT B-PERSON PRP NN
VM PRP B-PERSON SYM NNP
NNP SYM B-PERSON NNP VM
SYM NNP I-PERSON VM SYM
VM NN B-ORG NNP PSP
NN NNP I-ORG PSP RP
RP CC B-PERSON NNP NN
CC NNP I-PERSON NN NN
NN VM B-PERSON VM SYM
NN RB B-PERSON NNP NNP
RB NNP B-LOC NNP NN
NNP NNP I-LOC NN PSP
NN PSP B-ORG NN PSP
NN JJ B-ORG NN PSP
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NN
JJ NN B-PERSON NNP NN
NN NNP I-PERSON NN RB
SYM NN B-LOC NN PSP
NST VM B-ORG VM SYM
VM SYM B-LOC NN NNP
NNP NN B-LOC PSP RB
VM SYM B-LOC NN NN
NN NN B-LOC NNP NN
